Categories;Categories 1;Categories 2;Categories 3;Continents;Country;En el TOP;Rank Tops;Table Names;Username;Comments;Engagement;Likes;Nº Total Channels;Rank;Suscribers;Total Suscribers;Visits
Música y baile;Música y baile;;;América del Sur;Brasil;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;gr6explode;534;0,019277778;7100;1;78;39600000;39600000;159900
Vlogs diarios;Vlogs diarios;;;Europa;Francia;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;shfa-1;0;0,126262626;50000;1;79;39600000;39600000;6600000
Películas;Películas;Humor;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;vladvaniki1;0;0,004314721;1700;1;80;39400000;39400000;534300
Películas;Películas;Animación;;América del Norte;México;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;YOLOAVENTURAS;993;0,443859694;173000;1;81;39200000;39200000;3200000
;;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;ABPNEWS;1;0,000199488;77;1;82;39100000;39100000;3600
;;;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;LikeNastya_ESP;0;0,003084833;1200;1;83;38900000;38900000;553700
;;;;Ásia;Tailandia;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;one31official;1;0,000345361;133;1;84;38800000;38800000;5300
Música y baile;Música y baile;;;América del Sur;Colombia;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;DaddyYankee;209;0,012002604;4400;1;85;38400000;38400000;40200
Películas;Películas;Animación;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;MariaClaraeJP;0;0,02578125;9900;1;86;38400000;38400000;1700000
;;;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;YouTube;175;0,005664063;2000;1;87;38400000;38400000;64400
;;;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;TheEllenShow;9;0,000429319;155;1;88;38200000;38200000;6300
Películas;Películas;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;SaregamaMusic;15;0,001225131;453;1;89;38200000;38200000;18000
Películas;Películas;Animación;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;PowerKidstv;0;0;0;1;90;38000000;38000000;54500
;;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;UltraBollywood;6;0,000306878;110;1;91;37800000;37800000;15900
